event,year,character,value,rate,type,count
Hepatitis A,2022,Area,Idaho,0.7,Case,14
Hepatitis A,2023,Area,Idaho,0.3,Case,5
Hepatitis A,2011,Area,Illinois,0.6,Case,73
Hepatitis A,2012,Area,Illinois,0.5,Case,67
Hepatitis A,2013,Area,Illinois,0.6,Case,79
Hepatitis A,2014,Area,Illinois,0.6,Case,82
Hepatitis A,2015,Area,Illinois,0.4,Case,57
Hepatitis A,2016,Area,Illinois,0.6,Case,71
Hepatitis A,2017,Area,Illinois,0.6,Case,73
Hepatitis A,2018,Area,Illinois,0.7,Case,93
Hepatitis A,2019,Area,Illinois,1.5,Case,185
Hepatitis A,2020,Area,Illinois,0.8,Case,97
Hepatitis A,2021,Area,Illinois,0.6,Case,78
Hepatitis A,2022,Area,Illinois,0.3,Case,41
Hepatitis A,2023,Area,Illinois,0.6,Case,75
Hepatitis A,2011,Area,Indiana,0.4,Case,24
Hepatitis A,2012,Area,Indiana,0.2,Case,11
Hepatitis A,2013,Area,Indiana,0.5,Case,32
Hepatitis A,2014,Area,Indiana,0.3,Case,20
Hepatitis A,2015,Area,Indiana,0.3,Case,19
Hepatitis A,2016,Area,Indiana,0.3,Case,18
Hepatitis A,2017,Area,Indiana,0.3,Case,21
Hepatitis A,2018,Area,Indiana,14.4,Case,964
Hepatitis A,2019,Area,Indiana,20.8,Case,NA
Hepatitis A,2020,Area,Indiana,2.9,Case,195
Hepatitis A,2021,Area,Indiana,1.4,Case,98
Hepatitis A,2022,Area,Indiana,0.4,Case,24
Hepatitis A,2023,Area,Indiana,0.2,Case,15
Hepatitis A,2011,Area,Iowa,0.3,Case,8
Hepatitis A,2012,Area,Iowa,0.2,Case,7
Hepatitis A,2013,Area,Iowa,0.6,Case,17
Hepatitis A,2014,Area,Iowa,0.4,Case,12
Hepatitis A,2015,Area,Iowa,0.5,Case,16
Hepatitis A,2016,Area,Iowa,0.5,Case,16
Hepatitis A,2017,Area,Iowa,0.3,Case,9
Hepatitis A,2018,Area,Iowa,0.3,Case,10
Hepatitis A,2019,Area,Iowa,0.3,Case,9
Hepatitis A,2020,Area,Iowa,0.2,Case,6
Hepatitis A,2021,Area,Iowa,0.3,Case,8
